2025-08-25 17:03:40 - 
Experiment Configuration:
2025-08-25 17:03:40 - --------------------------------------------------
2025-08-25 17:03:40 - dataset: P3 Raw Data BIDS-Compatible
2025-08-25 17:03:40 - use_combined_datasets: False
2025-08-25 17:03:40 - electrode_list: common
2025-08-25 17:03:40 - classifier: lda
2025-08-25 17:03:40 - separate_subject_classification: True
2025-08-25 17:03:40 - use_subject_layer: True
2025-08-25 17:03:40 - seeds: [1]
2025-08-25 17:03:40 - --------------------------------------------------
2025-08-25 17:03:40 - 
==================================================
2025-08-25 17:03:40 - Processing P3 Dataset
2025-08-25 17:03:40 - ==================================================
2025-08-25 17:03:40 - Subject: sub-001, Accuracy: 70.000%
2025-08-25 17:04:41 - Subject: sub-010, Accuracy: 75.000%
2025-08-25 17:04:41 - Subject: sub-011, Accuracy: 65.000%
2025-08-25 17:04:41 - Subject: sub-012, Accuracy: 72.500%
2025-08-25 17:04:41 - Subject: sub-013, Accuracy: 80.000%
2025-08-25 17:04:41 - Subject: sub-014, Accuracy: 77.500%
2025-08-25 17:04:41 - Subject: sub-015, Accuracy: 80.000%
2025-08-25 17:04:41 - Subject: sub-016, Accuracy: 87.500%
2025-08-25 17:04:41 - Subject: sub-017, Accuracy: 77.500%
2025-08-25 17:04:41 - Subject: sub-018, Accuracy: 77.500%
2025-08-25 17:04:41 - Subject: sub-019, Accuracy: 82.500%
2025-08-25 17:04:41 - Subject: sub-020, Accuracy: 82.500%
2025-08-25 17:04:41 - Subject: sub-021, Accuracy: 82.500%
2025-08-25 17:04:41 - Subject: sub-022, Accuracy: 85.000%
2025-08-25 17:04:41 - Subject: sub-023, Accuracy: 80.000%
2025-08-25 17:04:41 - Subject: sub-024, Accuracy: 62.500%
2025-08-25 17:04:41 - Subject: sub-025, Accuracy: 70.000%
2025-08-25 17:04:41 - Subject: sub-026, Accuracy: 72.500%
2025-08-25 17:04:41 - Subject: sub-027, Accuracy: 75.000%
2025-08-25 17:04:41 - Subject: sub-028, Accuracy: 72.500%
2025-08-25 17:04:41 - Subject: sub-029, Accuracy: 87.500%
2025-08-25 17:04:41 - Subject: sub-030, Accuracy: 70.000%
2025-08-25 17:04:41 - Subject: sub-031, Accuracy: 80.000%
2025-08-25 17:04:41 - Subject: sub-032, Accuracy: 70.000%
2025-08-25 17:04:41 - Subject: sub-033, Accuracy: 77.500%
2025-08-25 17:04:41 - Subject: sub-034, Accuracy: 82.500%
2025-08-25 17:04:41 - Subject: sub-035, Accuracy: 70.000%
2025-08-25 17:04:41 - Subject: sub-036, Accuracy: 75.000%
2025-08-25 17:04:41 - Subject: sub-037, Accuracy: 80.000%
2025-08-25 17:04:41 - Subject: sub-038, Accuracy: 77.500%
2025-08-25 17:04:41 - Subject: sub-039, Accuracy: 75.000%
2025-08-25 17:04:41 - Subject: sub-040, Accuracy: 67.500%
2025-08-25 17:04:41 - 
P3 Individual Models Statistics:
2025-08-25 17:04:41 - Mean Accuracy: 0.766
2025-08-25 17:04:41 - 95% Confidence Interval: [0.746, 0.786]
2025-08-25 17:04:41 - Best Subject: sub-003 (0.875)
2025-08-25 17:04:41 - Worst Subject: sub-024 (0.625)
