2025-08-13 19:18:39 - 
Experiment Configuration:
2025-08-13 19:18:39 - --------------------------------------------------
2025-08-13 19:18:39 - dataset: ds005863
2025-08-13 19:18:39 - use_combined_datasets: False
2025-08-13 19:18:39 - electrode_list: all
2025-08-13 19:18:39 - classifier: lda
2025-08-13 19:18:39 - separate_subject_classification: True
2025-08-13 19:18:39 - use_subject_layer: False
2025-08-13 19:18:39 - seeds: [1]
2025-08-13 19:18:39 - --------------------------------------------------
2025-08-13 19:18:39 - 
==================================================
2025-08-13 19:18:39 - Processing Active Visual Oddball Dataset
2025-08-13 19:18:39 - ==================================================
2025-08-13 19:19:10 - Subject: sub-001, Accuracy: 83.784%
2025-08-13 19:37:25 - Subject: sub-023, Accuracy: 80.556%
2025-08-13 19:37:25 - Subject: sub-024, Accuracy: 78.571%
2025-08-13 19:37:25 - Subject: sub-025, Accuracy: 77.419%
2025-08-13 19:37:25 - Subject: sub-026, Accuracy: 62.162%
2025-08-13 19:37:25 - Subject: sub-027, Accuracy: 91.176%
2025-08-13 19:37:25 - Subject: sub-028, Accuracy: 71.053%
2025-08-13 19:37:25 - Subject: sub-029, Accuracy: 78.947%
2025-08-13 19:37:25 - Subject: sub-030, Accuracy: 82.353%
2025-08-13 19:37:25 - Subject: sub-031, Accuracy: 82.051%
2025-08-13 19:37:25 - Subject: sub-032, Accuracy: 76.190%
2025-08-13 19:37:25 - Subject: sub-033, Accuracy: 81.579%
2025-08-13 19:37:25 - Subject: sub-034, Accuracy: 65.714%
2025-08-13 19:37:25 - Subject: sub-035, Accuracy: 78.049%
2025-08-13 19:37:25 - Subject: sub-036, Accuracy: 78.571%
2025-08-13 19:37:25 - Subject: sub-037, Accuracy: 74.359%
2025-08-13 19:37:25 - Subject: sub-038, Accuracy: 80.488%
2025-08-13 19:37:25 - Subject: sub-039, Accuracy: 67.647%
2025-08-13 19:37:25 - Subject: sub-040, Accuracy: 80.488%
2025-08-13 19:37:25 - Subject: sub-041, Accuracy: 83.333%
2025-08-13 19:37:25 - Subject: sub-042, Accuracy: 75.000%
2025-08-13 19:37:25 - Subject: sub-043, Accuracy: 71.429%
2025-08-13 19:37:25 - Subject: sub-044, Accuracy: 79.167%
2025-08-13 19:37:25 - Subject: sub-045, Accuracy: 68.966%
2025-08-13 19:37:25 - Subject: sub-046, Accuracy: 76.471%
2025-08-13 19:37:25 - Subject: sub-047, Accuracy: 61.905%
2025-08-13 19:37:25 - Subject: sub-048, Accuracy: 78.049%
2025-08-13 19:37:25 - Subject: sub-049, Accuracy: 67.857%
2025-08-13 19:37:25 - Subject: sub-050, Accuracy: 87.500%
2025-08-13 19:37:25 - Subject: sub-051, Accuracy: 83.784%
2025-08-13 19:37:25 - Subject: sub-052, Accuracy: 76.190%
2025-08-13 19:37:25 - Subject: sub-053, Accuracy: 68.421%
2025-08-13 19:37:25 - Subject: sub-054, Accuracy: 77.500%
2025-08-13 19:37:25 - Subject: sub-056, Accuracy: 68.571%
2025-08-13 19:37:25 - Subject: sub-057, Accuracy: 80.488%
2025-08-13 19:37:25 - Subject: sub-058, Accuracy: 74.359%
2025-08-13 19:37:25 - Subject: sub-059, Accuracy: 79.412%
2025-08-13 19:37:25 - Subject: sub-060, Accuracy: 74.359%
2025-08-13 19:37:25 - Subject: sub-061, Accuracy: 59.459%
2025-08-13 19:37:25 - Subject: sub-062, Accuracy: 65.789%
2025-08-13 19:37:25 - Subject: sub-063, Accuracy: 81.081%
2025-08-13 19:37:25 - Subject: sub-064, Accuracy: 73.529%
2025-08-13 19:37:25 - Subject: sub-065, Accuracy: 85.000%
2025-08-13 19:37:25 - Subject: sub-066, Accuracy: 74.286%
2025-08-13 19:37:25 - Subject: sub-067, Accuracy: 77.419%
2025-08-13 19:37:25 - Subject: sub-068, Accuracy: 65.714%
2025-08-13 19:37:25 - Subject: sub-069, Accuracy: 76.471%
2025-08-13 19:37:25 - Subject: sub-070, Accuracy: 73.529%
2025-08-13 19:37:25 - Subject: sub-071, Accuracy: 80.556%
2025-08-13 19:37:25 - Subject: sub-073, Accuracy: 68.750%
2025-08-13 19:37:25 - Subject: sub-074, Accuracy: 78.378%
2025-08-13 19:37:25 - Subject: sub-075, Accuracy: 80.000%
2025-08-13 19:37:25 - Subject: sub-076, Accuracy: 71.795%
2025-08-13 19:37:25 - Subject: sub-077, Accuracy: 83.784%
2025-08-13 19:37:25 - Subject: sub-078, Accuracy: 89.474%
2025-08-13 19:37:25 - Subject: sub-079, Accuracy: 72.222%
2025-08-13 19:37:25 - Subject: sub-080, Accuracy: 82.353%
2025-08-13 19:37:25 - Subject: sub-081, Accuracy: 78.947%
2025-08-13 19:37:25 - Subject: sub-082, Accuracy: 77.500%
2025-08-13 19:37:25 - Subject: sub-083, Accuracy: 73.684%
2025-08-13 19:37:25 - Subject: sub-111, Accuracy: 72.727%
2025-08-13 19:37:25 - Subject: sub-112, Accuracy: 82.353%
2025-08-13 19:37:25 - Subject: sub-113, Accuracy: 79.487%
2025-08-13 19:37:25 - Subject: sub-114, Accuracy: 74.359%
2025-08-13 19:37:25 - Subject: sub-115, Accuracy: 80.000%
2025-08-13 19:37:25 - Subject: sub-116, Accuracy: 87.500%
2025-08-13 19:37:25 - Subject: sub-117, Accuracy: 77.500%
2025-08-13 19:37:25 - Subject: sub-118, Accuracy: 64.516%
2025-08-13 19:37:25 - Subject: sub-119, Accuracy: 70.000%
2025-08-13 19:37:25 - Subject: sub-120, Accuracy: 82.500%
2025-08-13 19:37:25 - Subject: sub-121, Accuracy: 80.000%
2025-08-13 19:37:25 - Subject: sub-122, Accuracy: 94.595%
2025-08-13 19:37:25 - Subject: sub-123, Accuracy: 72.500%
2025-08-13 19:37:25 - Subject: sub-124, Accuracy: 71.875%
2025-08-13 19:37:25 - Subject: sub-125, Accuracy: 83.333%
2025-08-13 19:37:25 - 
AVO Individual Models Statistics:
2025-08-13 19:37:25 - Mean Accuracy: 0.764
2025-08-13 19:37:25 - 95% Confidence Interval: [0.750, 0.778]
2025-08-13 19:37:25 - Best Subject: sub-122 (0.946)
2025-08-13 19:37:25 - Worst Subject: sub-061 (0.595)
